ID,PROGRAMA,N_PERIODOS,SECUENCIA_ESTADOS,SECUENCIA_TRANSICIONES,ESTADO_FINAL_PRED,ESTADO_FINAL_REAL,N_ANOMALIAS
T00044926,INGENIERIA INDUSTRIAL,11,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaaaac,Grado,Grado,0
T00044927,FINANZAS Y NEGOCIOS INTERNACIO,13,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> PAT -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaabbaakac,Grado,Grado,0
T00044929,INGENIERIA ELECTRICA,9,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaac,Grado,Grado,0
T00044930,INGENIERIA MECATRONICA,11,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP,aaaaaaaaabc,Grado,Grado,0
T00044931,FINANZAS Y NEGOCIOS INTERNACIO,9,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaac,Grado,Grado,0
T00044932,PSICOLOGIA,8,Primera vez en una carrera -> PAP -> PAT -> Recuperacion academica -> Recuperacion academica -> Recuperacion academica -> Primera vez en una carrera -> Continuo regular,bbeeekac,Grado,Grado,0
T00044933,DERECHO,10,Primera vez en una carrera -> Continuo regular -> PAP -> Continuo regular -> PAP -> Continuo regular -> PAP -> PAT -> Continuo regular -> Continuo regular,abababbkac,Grado,Grado,0
T00044934,FINANZAS Y NEGOCIOS INTERNACIO,11,Primera vez en una carrera -> PAP -> PAT -> Recuperacion academica -> Recuperacion academica -> Recuperacion academica -> Recuperacion academica -> Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular,bbeeeekaakc,Grado,Grado,0
T00044936,CONTADURIA PUBLICA,2,Primera vez en una carrera -> Continuo regular,ac,Grado,Grado,0
T00044937,FINANZAS Y NEGOCIOS INTERNACIO,9,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaac,Grado,Grado,0
T00044939,PSICOLOGIA,8,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaac,Grado,Grado,0
T00044940,FINANZAS Y NEGOCIOS INTERNACIO,6,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP,aaaabc,Grado,Grado,0
T00044941,PSICOLOGIA,9,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaaaac,Grado,Grado,0
T00044944,FINANZAS Y NEGOCIOS INTERNACIO,13,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> Continuo regular -> Continuo regular,aaaaaaaaabaac,Grado,Grado,0
T00044945,FINANZAS Y NEGOCIOS INTERNACIO,11,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP,aaaaaaaaabc,Grado,Grado,0
